,class1,class2,path
38,1,56,"[1, 43, 79, 78, 34, 52, 51, 53, 56]"
39,1,73,"[1, 43, 79, 78, 77, 76, 75, 74, 73]"
40,1,55,"[1, 43, 79, 78, 34, 52, 51, 53, 54, 55]"
41,1,10,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 10]"
42,1,57,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57]"
43,1,33,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 33]"
44,1,70,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70]"
45,1,11,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 10, 11]"
46,1,72,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 72]"
47,1,58,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58]"
48,1,69,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69]"
49,1,71,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71]"
50,1,12,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 10, 11, 12]"
51,1,31,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 72, 31]"
52,1,13,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 13]"
53,1,59,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59]"
54,1,42,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 42]"
55,1,68,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68]"
56,1,32,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 32]"
57,1,35,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 35]"
58,1,36,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 36]"
59,1,61,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 61]"
60,1,60,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60]"
61,1,41,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 41]"
62,1,67,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67]"
63,1,39,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 35, 39]"
64,1,37,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 37]"
65,1,62,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62]"
66,1,40,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 40]"
67,1,66,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66]"
68,1,14,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 14]"
69,1,63,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63]"
70,1,17,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17]"
71,1,65,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 65]"
72,1,15,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 15]"
73,1,38,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 38]"
74,1,64,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 64]"
75,1,18,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18]"
76,1,16,"[1, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 64, 16]"
77,1,19,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18, 19]"
78,1,20,"[1, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18, 20]"
79,43,43,[43]
80,43,1,"[43, 1]"
81,43,44,"[43, 44]"
82,43,79,"[43, 79]"
83,43,2,"[43, 44, 2]"
84,43,25,"[43, 44, 25]"
85,43,45,"[43, 44, 45]"
86,43,24,"[43, 79, 24]"
87,43,78,"[43, 79, 78]"
88,43,3,"[43, 44, 45, 3]"
89,43,26,"[43, 44, 45, 26]"
90,43,46,"[43, 44, 45, 46]"
91,43,22,"[43, 79, 78, 22]"
92,43,23,"[43, 79, 78, 23]"
93,43,34,"[43, 79, 78, 34]"
94,43,77,"[43, 79, 78, 77]"
95,43,4,"[43, 44, 45, 46, 4]"
96,43,27,"[43, 44, 45, 46, 27]"
97,43,47,"[43, 44, 45, 46, 47]"
98,43,52,"[43, 79, 78, 34, 52]"
99,43,21,"[43, 79, 78, 77, 21]"
100,43,76,"[43, 79, 78, 77, 76]"
101,43,5,"[43, 44, 45, 46, 47, 5]"
102,43,28,"[43, 44, 45, 46, 47, 28]"
103,43,48,"[43, 44, 45, 46, 47, 48]"
104,43,51,"[43, 79, 78, 34, 52, 51]"
105,43,75,"[43, 79, 78, 77, 76, 75]"
106,43,6,"[43, 44, 45, 46, 47, 48, 6]"
107,43,7,"[43, 44, 45, 46, 47, 48, 7]"
108,43,49,"[43, 44, 45, 46, 47, 48, 49]"
109,43,50,"[43, 79, 78, 34, 52, 51, 50]"
110,43,53,"[43, 79, 78, 34, 52, 51, 53]"
111,43,74,"[43, 79, 78, 77, 76, 75, 74]"
112,43,8,"[43, 44, 45, 46, 47, 48, 49, 8]"
113,43,9,"[43, 44, 45, 46, 47, 48, 49, 9]"
114,43,29,"[43, 44, 45, 46, 47, 48, 49, 29]"
115,43,30,"[43, 79, 78, 34, 52, 51, 53, 30]"
116,43,54,"[43, 79, 78, 34, 52, 51, 53, 54]"
117,43,56,"[43, 79, 78, 34, 52, 51, 53, 56]"
118,43,73,"[43, 79, 78, 77, 76, 75, 74, 73]"
119,43,55,"[43, 79, 78, 34, 52, 51, 53, 54, 55]"
120,43,10,"[43, 79, 78, 34, 52, 51, 53, 56, 10]"
121,43,57,"[43, 79, 78, 34, 52, 51, 53, 56, 57]"
122,43,33,"[43, 79, 78, 77, 76, 75, 74, 73, 33]"
123,43,70,"[43, 79, 78, 77, 76, 75, 74, 73, 70]"
124,43,11,"[43, 79, 78, 34, 52, 51, 53, 56, 10, 11]"
125,43,72,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 72]"
126,43,58,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58]"
127,43,69,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69]"
128,43,71,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 71]"
129,43,12,"[43, 79, 78, 34, 52, 51, 53, 56, 10, 11, 12]"
130,43,31,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 72, 31]"
131,43,13,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 13]"
132,43,59,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59]"
133,43,42,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 42]"
134,43,68,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68]"
135,43,32,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 32]"
136,43,35,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 35]"
137,43,36,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 36]"
138,43,61,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 61]"
139,43,60,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60]"
140,43,41,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 41]"
141,43,67,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67]"
142,43,39,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 35, 39]"
143,43,37,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 37]"
144,43,62,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62]"
145,43,40,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 40]"
146,43,66,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66]"
147,43,14,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 14]"
148,43,63,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63]"
149,43,17,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17]"
150,43,65,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 65]"
151,43,15,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 15]"
152,43,38,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 38]"
153,43,64,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 64]"
154,43,18,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18]"
155,43,16,"[43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 64, 16]"
156,43,19,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18, 19]"
157,43,20,"[43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18, 20]"
158,2,2,[2]
159,2,44,"[2, 44]"
160,2,25,"[2, 44, 25]"
161,2,43,"[2, 44, 43]"
162,2,45,"[2, 44, 45]"
163,2,1,"[2, 44, 43, 1]"
164,2,79,"[2, 44, 43, 79]"
165,2,3,"[2, 44, 45, 3]"
166,2,26,"[2, 44, 45, 26]"
167,2,46,"[2, 44, 45, 46]"
168,2,24,"[2, 44, 43, 79, 24]"
169,2,78,"[2, 44, 43, 79, 78]"
170,2,4,"[2, 44, 45, 46, 4]"
171,2,27,"[2, 44, 45, 46, 27]"
172,2,47,"[2, 44, 45, 46, 47]"
173,2,22,"[2, 44, 43, 79, 78, 22]"
174,2,23,"[2, 44, 43, 79, 78, 23]"
175,2,34,"[2, 44, 43, 79, 78, 34]"
176,2,77,"[2, 44, 43, 79, 78, 77]"
177,2,5,"[2, 44, 45, 46, 47, 5]"
178,2,28,"[2, 44, 45, 46, 47, 28]"
179,2,48,"[2, 44, 45, 46, 47, 48]"
180,2,52,"[2, 44, 43, 79, 78, 34, 52]"
181,2,21,"[2, 44, 43, 79, 78, 77, 21]"
182,2,76,"[2, 44, 43, 79, 78, 77, 76]"
183,2,6,"[2, 44, 45, 46, 47, 48, 6]"
184,2,7,"[2, 44, 45, 46, 47, 48, 7]"
185,2,49,"[2, 44, 45, 46, 47, 48, 49]"
186,2,51,"[2, 44, 43, 79, 78, 34, 52, 51]"
187,2,75,"[2, 44, 43, 79, 78, 77, 76, 75]"
188,2,8,"[2, 44, 45, 46, 47, 48, 49, 8]"
189,2,9,"[2, 44, 45, 46, 47, 48, 49, 9]"
190,2,29,"[2, 44, 45, 46, 47, 48, 49, 29]"
191,2,50,"[2, 44, 45, 46, 47, 48, 49, 50]"
192,2,53,"[2, 44, 43, 79, 78, 34, 52, 51, 53]"
193,2,74,"[2, 44, 43, 79, 78, 77, 76, 75, 74]"
194,2,54,"[2, 44, 45, 46, 47, 48, 49, 9, 54]"
195,2,30,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 30]"
196,2,56,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56]"
197,2,73,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73]"
198,2,55,"[2, 44, 45, 46, 47, 48, 49, 9, 54, 55]"
199,2,10,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 10]"
200,2,57,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57]"
201,2,33,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 33]"
202,2,70,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70]"
203,2,11,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 10, 11]"
204,2,72,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 72]"
205,2,58,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58]"
206,2,69,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69]"
207,2,71,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71]"
208,2,12,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 10, 11, 12]"
209,2,31,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 72, 31]"
210,2,13,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 13]"
211,2,59,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59]"
212,2,42,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 42]"
213,2,68,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68]"
214,2,32,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 32]"
215,2,35,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 35]"
216,2,36,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 36]"
217,2,61,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 61]"
218,2,60,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60]"
219,2,41,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 41]"
220,2,67,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67]"
221,2,39,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 35, 39]"
222,2,37,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 37]"
223,2,62,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62]"
224,2,40,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 40]"
225,2,66,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66]"
226,2,14,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 14]"
227,2,63,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63]"
228,2,17,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17]"
229,2,65,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 65]"
230,2,15,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 15]"
231,2,38,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 38]"
232,2,64,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 64]"
233,2,18,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18]"
234,2,16,"[2, 44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 64, 16]"
235,2,19,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18, 19]"
236,2,20,"[2, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18, 20]"
237,44,44,[44]
238,44,2,"[44, 2]"
239,44,25,"[44, 25]"
240,44,43,"[44, 43]"
241,44,45,"[44, 45]"
242,44,1,"[44, 43, 1]"
243,44,79,"[44, 43, 79]"
244,44,3,"[44, 45, 3]"
245,44,26,"[44, 45, 26]"
246,44,46,"[44, 45, 46]"
247,44,24,"[44, 43, 79, 24]"
248,44,78,"[44, 43, 79, 78]"
249,44,4,"[44, 45, 46, 4]"
250,44,27,"[44, 45, 46, 27]"
251,44,47,"[44, 45, 46, 47]"
252,44,22,"[44, 43, 79, 78, 22]"
253,44,23,"[44, 43, 79, 78, 23]"
254,44,34,"[44, 43, 79, 78, 34]"
255,44,77,"[44, 43, 79, 78, 77]"
256,44,5,"[44, 45, 46, 47, 5]"
257,44,28,"[44, 45, 46, 47, 28]"
258,44,48,"[44, 45, 46, 47, 48]"
259,44,52,"[44, 43, 79, 78, 34, 52]"
260,44,21,"[44, 43, 79, 78, 77, 21]"
261,44,76,"[44, 43, 79, 78, 77, 76]"
262,44,6,"[44, 45, 46, 47, 48, 6]"
263,44,7,"[44, 45, 46, 47, 48, 7]"
264,44,49,"[44, 45, 46, 47, 48, 49]"
265,44,51,"[44, 43, 79, 78, 34, 52, 51]"
266,44,75,"[44, 43, 79, 78, 77, 76, 75]"
267,44,8,"[44, 45, 46, 47, 48, 49, 8]"
268,44,9,"[44, 45, 46, 47, 48, 49, 9]"
269,44,29,"[44, 45, 46, 47, 48, 49, 29]"
270,44,50,"[44, 45, 46, 47, 48, 49, 50]"
271,44,53,"[44, 43, 79, 78, 34, 52, 51, 53]"
272,44,74,"[44, 43, 79, 78, 77, 76, 75, 74]"
273,44,54,"[44, 45, 46, 47, 48, 49, 9, 54]"
274,44,30,"[44, 43, 79, 78, 34, 52, 51, 53, 30]"
275,44,56,"[44, 43, 79, 78, 34, 52, 51, 53, 56]"
276,44,73,"[44, 43, 79, 78, 77, 76, 75, 74, 73]"
277,44,55,"[44, 45, 46, 47, 48, 49, 9, 54, 55]"
278,44,10,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 10]"
279,44,57,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57]"
280,44,33,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 33]"
281,44,70,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70]"
282,44,11,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 10, 11]"
283,44,72,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 72]"
284,44,58,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58]"
285,44,69,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69]"
286,44,71,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71]"
287,44,12,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 10, 11, 12]"
288,44,31,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 72, 31]"
289,44,13,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 13]"
290,44,59,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59]"
291,44,42,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 42]"
292,44,68,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68]"
293,44,32,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 32]"
294,44,35,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 35]"
295,44,36,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 36]"
296,44,61,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 61]"
297,44,60,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60]"
298,44,41,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 41]"
299,44,67,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67]"
300,44,39,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 35, 39]"
301,44,37,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 37]"
302,44,62,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62]"
303,44,40,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 40]"
304,44,66,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66]"
305,44,14,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 14]"
306,44,63,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63]"
307,44,17,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17]"
308,44,65,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 65]"
309,44,15,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 15]"
310,44,38,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 38]"
311,44,64,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 64]"
312,44,18,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18]"
313,44,16,"[44, 43, 79, 78, 34, 52, 51, 53, 56, 57, 58, 59, 60, 62, 63, 64, 16]"
314,44,19,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18, 19]"
315,44,20,"[44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67, 66, 17, 18, 20]"
316,3,3,[3]
317,3,45,"[3, 45]"
318,3,26,"[3, 45, 26]"
319,3,44,"[3, 45, 44]"
320,3,46,"[3, 45, 46]"
321,3,2,"[3, 45, 44, 2]"
322,3,25,"[3, 45, 44, 25]"
323,3,43,"[3, 45, 44, 43]"
324,3,4,"[3, 45, 46, 4]"
325,3,27,"[3, 45, 46, 27]"
326,3,47,"[3, 45, 46, 47]"
327,3,1,"[3, 45, 44, 43, 1]"
328,3,79,"[3, 45, 44, 43, 79]"
329,3,5,"[3, 45, 46, 47, 5]"
330,3,28,"[3, 45, 46, 47, 28]"
331,3,48,"[3, 45, 46, 47, 48]"
332,3,24,"[3, 45, 44, 43, 79, 24]"
333,3,78,"[3, 45, 44, 43, 79, 78]"
334,3,6,"[3, 45, 46, 47, 48, 6]"
335,3,7,"[3, 45, 46, 47, 48, 7]"
336,3,49,"[3, 45, 46, 47, 48, 49]"
337,3,22,"[3, 45, 44, 43, 79, 78, 22]"
338,3,23,"[3, 45, 44, 43, 79, 78, 23]"
339,3,34,"[3, 45, 44, 43, 79, 78, 34]"
340,3,77,"[3, 45, 44, 43, 79, 78, 77]"
341,3,8,"[3, 45, 46, 47, 48, 49, 8]"
342,3,9,"[3, 45, 46, 47, 48, 49, 9]"
343,3,29,"[3, 45, 46, 47, 48, 49, 29]"
344,3,50,"[3, 45, 46, 47, 48, 49, 50]"
345,3,52,"[3, 45, 44, 43, 79, 78, 34, 52]"
346,3,21,"[3, 45, 44, 43, 79, 78, 77, 21]"
347,3,76,"[3, 45, 44, 43, 79, 78, 77, 76]"
348,3,54,"[3, 45, 46, 47, 48, 49, 9, 54]"
349,3,51,"[3, 45, 46, 47, 48, 49, 50, 51]"
350,3,75,"[3, 45, 44, 43, 79, 78, 77, 76, 75]"
351,3,53,"[3, 45, 46, 47, 48, 49, 9, 54, 53]"
352,3,55,"[3, 45, 46, 47, 48, 49, 9, 54, 55]"
353,3,74,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74]"
354,3,30,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 30]"
355,3,56,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56]"
356,3,73,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73]"
357,3,10,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 10]"
358,3,57,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 57]"
359,3,33,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 33]"
360,3,70,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70]"
361,3,11,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 10, 11]"
362,3,72,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 57, 72]"
363,3,58,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 57, 58]"
364,3,69,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69]"
365,3,71,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71]"
366,3,12,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 10, 11, 12]"
367,3,31,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 57, 72, 31]"
368,3,13,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 57, 58, 13]"
369,3,59,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 57, 58, 59]"
370,3,42,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 42]"
371,3,68,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68]"
372,3,32,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 32]"
373,3,35,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 35]"
374,3,36,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 57, 58, 59, 36]"
375,3,61,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 57, 58, 59, 61]"
376,3,60,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 57, 58, 59, 60]"
377,3,41,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 41]"
378,3,67,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 69, 68, 67]"
379,3,39,"[3, 45, 44, 43, 79, 78, 77, 76, 75, 74, 73, 70, 71, 35, 39]"
380,3,37,"[3, 45, 46, 47, 48, 49, 9, 54, 53, 56, 57, 58, 59, 60, 37]"
